Code,Mood,File,Duration,BPM,Key,Hex,Group
Familiar Melancholy02A,Hazy,179_Hazy.m4a,143.6,161.5,F,#26bad8,Familiar Melancholy
Personal Security03A,Trusting,067_Trusting.m4a,104.32,86.1,Ab,#29d826,Personal Security
Personal Security04A,Soothing,076_Soothing.m4a,140.76,76.0,Ab,#45d826,Personal Security
Vivid Discovery02A,Nostalgic,217_Nostalgic.m4a,96.32,172.3,G,#2926d8,Vivid Discovery
Poignant Sorrow02A,Bittersweet,171_Bittersweet.m4a,112.72,129.2,F#,#26a5d8,Poignant Sorrow
Curious Expansion04A,Unfolding,143_Unfolding.m4a,128.88,86.1,C#,#9126d8,Curious Expansion
Profound Vision04A,Esoteric,246_Esoteric.m4a,149.08,161.5,C,#d826c9,Profound Vision
Personal Security05A,Balanced,072_Balanced.m4a,98.8,161.5,Ab,#3ad826,Personal Security
Mounting Dread and Suspense03A,Foreboding,119_Foreboding.m4a,160.12,86.1,F,#26d89f,Mounting Dread and Suspense
Rage / Volatility05A,Furious,347_Furious.m4a,126.16,172.3,Eb,#d88d26,Rage / Volatility
Gentle Uplift04A,Gracious,040_Gracious.m4a,151.6,89.1,D,#d8be26,Gentle Uplift
Curious Expansion05A,Inspired,271_Inspired.m4a,137.92,103.4,D,#ac26d8,Curious Expansion
Vivid Discovery03A,Mythic,204_Mythic.m4a,193.32,117.5,Bb,#4a26d8,Vivid Discovery
Vibrant Celebration03A,Jubilant,009_Jubilant.m4a,94.92,99.4,Eb,#a1d826,Vibrant Celebration
Heartfelt Connection04A,Joyful,018_Joyful.m4a,128.8,161.5,F#,#b7d826,Heartfelt Connection
Expressive / Concrete Style05A,Concrete,313_Concrete.m4a,60.04,161.5,C#,#d8266c,Expressive / Concrete Style
Heartfelt Connection05A,Warm,030_Warm.m4a,112.24,86.1,Bb,#d7d826,Heartfelt Connection
Subtle Unease and Uncertainty02A,Nervous,132_Nervous.m4a,102.4,86.1,Bb,#26d879,Subtle Unease and Uncertainty
Internal Agitation02A,Charged,365_Charged.m4a,129.56,95.7,E,#d85726,Internal Agitation
Vivid Discovery04A,Magical,213_Magical.m4a,159.52,86.1,G,#3426d8,Vivid Discovery
Poignant Sorrow03A,Serein,155_Serein.m4a,121.32,89.1,C#,#2674d8,Poignant Sorrow
Overwhelming Reality Shift02A,Wonder,201_Wonder.m4a,147.0,161.5,D,#5526d8,Overwhelming Reality Shift
Personal Security06A,Peaceful,077_Peaceful.m4a,111.04,107.7,Bb,#4ad826,Personal Security
Poignant Sorrow04A,Vulnerable,157_Vulnerable.m4a,114.36,89.1,D,#2679d8,Poignant Sorrow
Internal Agitation03A,Restless,379_Restless.m4a,84.88,172.3,Ab,#d83126,Internal Agitation
Profound Despair03A,Hollow,153_Hollow.m4a,136.0,117.5,G,#266ed8,Profound Despair
Gentle Presence05A,Calm,086_Calm.m4a,127.72,117.5,F,#60d826,Gentle Presence
Profound Vision05A,Imminent,236_Imminent.m4a,106.4,89.1,Eb,#d826ae,Profound Vision
Curious Expansion06A,Prospective,275_Prospective.m4a,121.92,80.7,G,#9626d8,Curious Expansion
Heartfelt Connection06A,Uplifting,021_Uplifting.m4a,177.24,123.0,C,#c2d826,Heartfelt Connection
Profound Despair04A,Brooding,148_Brooding.m4a,87.96,117.5,C,#2663d8,Profound Despair
Mounting Dread and Suspense04A,Apprehensive,128_Apprehensive.m4a,124.04,123.0,F,#26d884,Mounting Dread and Suspense
Gentle Awakening03A,Liminal,228_Liminal.m4a,144.92,117.5,Eb,#2643d8,Gentle Awakening
Familiar Melancholy03A,Subdued,177_Subdued.m4a,60.8,161.5,C,#26b5d8,Familiar Melancholy
Heartfelt Connection07A,Sincere,033_Sincere.m4a,133.72,80.7,E,#d8ce26,Heartfelt Connection
Profound Vision06A,Powerful,248_Powerful.m4a,131.72,95.7,B,#d826ce,Profound Vision
Overwhelming Terror and Confusion03A,Disoriented,101_Disoriented.m4a,120.08,161.5,A,#26d8cb,Overwhelming Terror and Confusion
Internal Agitation04A,Gritty,381_Gritty.m4a,67.56,184.6,G,#d82b26,Internal Agitation
Rage / Volatility06A,Belligerent,352_Belligerent.m4a,104.96,92.3,F,#d88226,Rage / Volatility
Profound Vision07A,Proleptic,243_Proleptic.m4a,120.04,161.5,D,#d826c3,Profound Vision
Mounting Dread and Suspense05A,Suspenseful,122_Suspenseful.m4a,114.56,89.1,F#,#26d894,Mounting Dread and Suspense
Internal Agitation05A,Hard-hitting,367_Hard-hitting.m4a,90.2,89.1,G,#d85126,Internal Agitation
Vivid Discovery05A,Cinematic,221_Cinematic.m4a,148.04,89.1,F,#262dd8,Vivid Discovery
Internal Agitation06A,Volatile,359_Volatile.m4a,65.08,89.1,G,#d86726,Internal Agitation
Curious Expansion07A,Experimental,284_Experimental.m4a,120.92,112.3,F,#8626d8,Curious Expansion
Familiar Melancholy04A,Introspective,172_Introspective.m4a,99.96,123.0,Bb,#26aad8,Familiar Melancholy
Overwhelming Terror and Confusion04A,Fearful,104_Fearful.m4a,129.96,92.3,Bb,#26d8c5,Overwhelming Terror and Confusion
Profound Vision08A,Transcendental,240_Transcendental.m4a,133.32,89.1,G,#d826b9,Profound Vision
Heartfelt Connection08A,Grateful,036_Grateful.m4a,122.52,92.3,C,#d8c926,Heartfelt Connection
Poignant Sorrow05A,Resigned,158_Resigned.m4a,83.12,123.0,E,#267fd8,Poignant Sorrow
Outward Expression01A,Combative,354_Combative.m4a,134.6,172.3,F#,#d87726,Outward Expression
Abstract / Meta / Evocative05A,Arcane,290_Arcane.m4a,172.64,172.3,C,#d82631,Abstract / Meta / Evocative
Vibrant Celebration04A,Ecstatic,006_Ecstatic.m4a,84.0,161.5,G,#96d826,Vibrant Celebration
Heartfelt Connection09A,Intimate,027_Intimate.m4a,134.96,76.0,G,#d2d826,Heartfelt Connection
Internal Agitation / Subtlety06A,Detached,326_Detached.m4a,122.44,172.3,C,#d8268d,Internal Agitation / Subtlety
Profound Despair05A,Submerged,166_Submerged.m4a,135.8,117.5,F#,#2653d8,Profound Despair
Familiar Melancholy05A,Lonely,185_Lonely.m4a,138.92,86.1,C,#26cbd8,Familiar Melancholy
Gentle Presence06A,Satiated,087_Satiated.m4a,89.88,80.7,F#,#6bd826,Gentle Presence
Imaginative Immersion05A,Speculative,265_Speculative.m4a,128.0,89.1,Bb,#b726d8,Imaginative Immersion
Gentle Presence07A,Content,094_Content.m4a,139.32,152.0,F,#65d826,Gentle Presence
Imaginative Immersion06A,Dreamlike,256_Dreamlike.m4a,142.76,143.6,Ab,#cc26d8,Imaginative Immersion
Imaginative Immersion07A,Imaginative,268_Imaginative.m4a,142.44,89.1,C,#b126d8,Imaginative Immersion
Vibrant Celebration05A,Blissful,001_Blissful.m4a,124.2,86.1,F,#8bd826,Vibrant Celebration
Overwhelming Terror and Confusion05A,Alienated,100_Alienated.m4a,127.96,89.1,Eb,#26d8d6,Overwhelming Terror and Confusion
Outward Expression02A,Angry,357_Angry.m4a,124.28,172.3,Bb,#d86c26,Outward Expression
Overwhelming Reality Shift03A,Cosmic,189_Cosmic.m4a,123.0,161.5,F#,#7b26d8,Overwhelming Reality Shift
Overwhelming Reality Shift04A,Surreal,193_Surreal.m4a,89.32,89.1,Bb,#7026d8,Overwhelming Reality Shift
Internal Agitation / Subtlety07A,Impassive,328_Impassive.m4a,109.52,161.5,Bb,#d82692,Internal Agitation / Subtlety
Mounting Dread and Suspense06A,Eerie,112_Eerie.m4a,128.12,89.1,F,#26d8af,Mounting Dread and Suspense
Absolute Stability05A,Precise,060_Precise.m4a,96.76,89.1,Bb,#26d843,Absolute Stability
Expressive / Concrete Style06A,Analog,316_Analog.m4a,83.24,152.0,F#,#d82672,Expressive / Concrete Style
Mounting Dread and Suspense07A,Dark,115_Dark.m4a,137.0,129.2,Bb,#26d8a5,Mounting Dread and Suspense
Vivid Discovery06A,Beautiful,218_Beautiful.m4a,182.6,172.3,F,#2628d8,Vivid Discovery
Mounting Dread and Suspense08A,Shadowed,114_Shadowed.m4a,106.68,117.5,Bb,#26d8aa,Mounting Dread and Suspense
Overwhelming Reality Shift05A,Transcendent,191_Transcendent.m4a,137.52,80.7,Eb,#7526d8,Overwhelming Reality Shift
Internal Agitation07A,Intense,369_Intense.m4a,118.8,161.5,Ab,#d84c26,Internal Agitation
Personal Security07A,Reassured,080_Reassured.m4a,128.28,161.5,Bb,#4fd826,Personal Security
Abstract / Meta / Evocative06A,Glitchy,295_Glitchy.m4a,115.16,152.0,F#,#d82641,Abstract / Meta / Evocative
Abstract / Meta / Evocative07A,Soulful,299_Soulful.m4a,169.92,161.5,Eb,#d8264c,Abstract / Meta / Evocative
Familiar Melancholy06A,Melancholy,183_Melancholy.m4a,131.16,92.3,Bb,#26c5d8,Familiar Melancholy
Overwhelming Reality Shift06A,Fantastical,198_Fantastical.m4a,138.04,172.3,C,#5a26d8,Overwhelming Reality Shift
Overwhelming Reality Shift07A,Hallucinatory,194_Hallucinatory.m4a,122.76,161.5,C#,#6526d8,Overwhelming Reality Shift
Internal Agitation08A,Provocative,364_Provocative.m4a,93.84,86.1,Bb,#d85c26,Internal Agitation
Subtle Unease and Uncertainty03A,Elusive,130_Elusive.m4a,95.24,172.3,C,#26d87f,Subtle Unease and Uncertainty
Profound Despair06A,Despondent,150_Despondent.m4a,130.8,117.5,Bb,#2669d8,Profound Despair
Subtle Unease and Uncertainty04A,Unsettled,141_Unsettled.m4a,130.0,107.7,F#,#26d85e,Subtle Unease and Uncertainty
Subtle Unease and Uncertainty05A,Uncertain,136_Uncertain.m4a,121.0,89.1,F#,#26d86e,Subtle Unease and Uncertainty
Vibrant Celebration06A,Liberated,003_Liberated.m4a,133.88,103.4,C#,#91d826,Vibrant Celebration
Poignant Sorrow06A,Poignant,161_Poignant.m4a,134.96,86.1,Bb,#2684d8,Poignant Sorrow
Mounting Dread and Suspense09A,Anxious,126_Anxious.m4a,120.04,80.7,C#,#26d889,Mounting Dread and Suspense
Internal Agitation09A,Edgy,384_Edgy.m4a,122.8,172.3,Ab,#d82626,Internal Agitation
Internal Agitation10A,Anti-Establishment,375_Anti-Establishment.m4a,103.52,92.3,C#,#d83b26,Internal Agitation
Vivid Discovery07A,Romantic,215_Romantic.m4a,161.72,161.5,C#,#2f26d8,Vivid Discovery
Internal Agitation11A,Defiant,362_Defiant.m4a,113.08,89.1,B,#d86226,Internal Agitation
Mounting Dread and Suspense10A,Uncanny,109_Uncanny.m4a,90.16,86.1,F,#26d8b5,Mounting Dread and Suspense
Abstract / Meta / Evocative08A,Deconstructed,292_Deconstructed.m4a,122.76,86.1,F,#d82636,Abstract / Meta / Evocative
Absolute Stability06A,Centered,053_Centered.m4a,131.96,80.7,Ab,#26d853,Absolute Stability
Imaginative Immersion08A,Longing,257_Longing.m4a,136.24,99.4,G,#c726d8,Imaginative Immersion
Heartfelt Connection10A,Heartfelt,019_Heartfelt.m4a,152.76,172.3,D,#bcd826,Heartfelt Connection
Rage / Volatility07A,Rebellious,349_Rebellious.m4a,120.04,161.5,G,#d88826,Rage / Volatility
Vivid Discovery08A,Incongruous,207_Incongruous.m4a,46.68,83.4,D,#4526d8,Vivid Discovery
Profound Vision09A,Visionary,249_Visionary.m4a,219.96,89.1,F,#d826d4,Profound Vision
Internal Agitation / Subtlety08A,Ambivalent,329_Ambivalent.m4a,116.84,80.7,Bb,#d82698,Internal Agitation / Subtlety
Mounting Dread and Suspense11A,Ominous,117_Ominous.m4a,172.64,112.3,Eb,#26d89a,Mounting Dread and Suspense
Gentle Awakening04A,Novel,222_Novel.m4a,65.4,152.0,Bb,#2632d8,Gentle Awakening
Vibrant Celebration07A,Triumphant,008_Triumphant.m4a,179.68,86.1,Eb,#9cd826,Vibrant Celebration
Gentle Uplift05A,Comforting,042_Comforting.m4a,121.88,129.2,Eb,#d8b926,Gentle Uplift
Absolute Stability07A,Unflappable,058_Unflappable.m4a,135.72,78.3,C,#26d848,Absolute Stability
Gentle Presence08A,Untroubled,091_Untroubled.m4a,122.28,161.5,Ab,#75d826,Gentle Presence
Outward Expression03A,Aggressive,355_Aggressive.m4a,53.24,89.1,E,#d87226,Outward Expression
Familiar Melancholy07A,Sad,187_Sad.m4a,34.24,184.6,Bb,#26d0d8,Familiar Melancholy
Heartfelt Connection11A,Exuberant,015_Exuberant.m4a,104.92,99.4,B,#b1d826,Heartfelt Connection
Vivid Discovery09A,Ethereal,211_Ethereal.m4a,133.96,172.3,D,#3a26d8,Vivid Discovery
Subtle Unease and Uncertainty06A,Ephemeral,134_Ephemeral.m4a,30.48,89.1,C,#26d874,Subtle Unease and Uncertainty
Expressive / Concrete Style07A,Atmospheric,304_Atmospheric.m4a,134.0,112.3,Bb,#d82657,Expressive / Concrete Style
Curious Expansion08A,Adventurous,269_Adventurous.m4a,135.96,89.1,F,#a626d8,Curious Expansion
Internal Agitation12A,Energetic,374_Energetic.m4a,111.48,112.3,D,#d84126,Internal Agitation
Poignant Sorrow07A,Remorseful,162_Remorseful.m4a,113.6,71.8,Ab,#2689d8,Poignant Sorrow
Personal Security08A,Sheltered,066_Sheltered.m4a,149.96,117.5,F#,#26d82d,Personal Security
Poignant Sorrow08A,Yearning,164_Yearning.m4a,142.4,172.3,Bb,#268fd8,Poignant Sorrow
Subtle Unease and Uncertainty07A,Disquieted,138_Disquieted.m4a,84.96,73.8,Eb,#26d869,Subtle Unease and Uncertainty
